date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-05-12,1.0645,0.6577,128.88,1.5961,1.9004,1.618519081648168,121.07092531705025,1.1906522147735104,80.74682037466323,67.81730162071142,0.6669381617693126,0.5601452325826142,195.9556028584461
1999-05-13,1.0622,0.656,129.2,1.5891,1.8992,1.6192073170731707,121.63434381472415,1.195141904222516,81.30388270089988,68.02864363942712,0.6684286703165314,0.5592881213142376,196.9512195121951
1999-05-14,1.0676,0.6601,130.78,1.6051,1.9103,1.6173307074685654,122.49906331959534,1.1901439162668994,81.47778954582269,68.46045123802544,0.6651298984486949,0.5588650997225567,198.12149674291774
1999-05-17,1.0685,0.6598,131.47,1.6117,1.9175,1.6194301303425278,123.0416471689284,1.1897375442079792,81.5722529006639,68.5632333767927,0.6629645715703916,0.5572359843546284,199.25735071233706
1999-05-18,1.069,0.6592,131.62,1.5896,1.9032,1.6216626213592231,123.12441534144061,1.1972823351786614,82.8007045797685,69.15720891130728,0.6724962254655259,0.5616855821773854,199.66626213592232
1999-05-19,1.0634,0.6569,132.4,1.6051,1.9268,1.6188156492616834,124.50630054542037,1.2004236496168463,82.48707245654477,68.71496782229603,0.6625132390505264,0.5518995225243927,201.55274775460495
1999-05-20,1.0639,0.6591,132.16,1.6083,1.9372,1.6141708390229101,124.2222013347119,1.204501647702543,82.17372380774731,68.2221763369812,0.6615059379469005,0.5491947140202355,200.51585495372476
1999-05-21,1.0572,0.6583,131.25,1.5906,1.9285,1.6059547318851586,124.14869466515324,1.212435558908588,82.51603168615617,68.05807622504537,0.6646548472274613,0.5481980814104226,199.3771836548686
1999-05-24,1.0585,0.6617,130.86,1.6103,1.9454,1.599667523046698,123.62777515351914,1.2080978699621188,81.26436067813451,67.26637195435387,0.6573309321244488,0.5441040403001953,197.7633368596041
1999-05-25,1.0627,0.6634,130.41,1.6134,1.9494,1.6018993066023515,122.71572409899314,1.2082558571959836,80.82930457419116,66.89750692520775,0.658671129292178,0.5451420950035908,196.57823334338258
